Fahrenheit 	    Celsius 
   -300.00 	    -184.44 
   -299.00 	    -183.89 
   -298.00 	    -183.33 
   -297.00 	    -182.78 
   -296.00 	    -182.22 
   -295.00 	    -181.67 
   -294.00 	    -181.11 
   -293.00 	    -180.56 
   -292.00 	    -180.00 
   -291.00 	    -179.44 
   -290.00 	    -178.89 
   -289.00 	    -178.33 
   -288.00 	    -177.78 
   -287.00 	    -177.22 
   -286.00 	    -176.67 
   -285.00 	    -176.11 
   -284.00 	    -175.56 
   -283.00 	    -175.00 
   -282.00 	    -174.44 
   -281.00 	    -173.89 
   -280.00 	    -173.33 
   -279.00 	    -172.78 
   -278.00 	    -172.22 
   -277.00 	    -171.67 
   -276.00 	    -171.11 
   -275.00 	    -170.56 
   -274.00 	    -170.00 
   -273.00 	    -169.44 
   -272.00 	    -168.89 
   -271.00 	    -168.33 
   -270.00 	    -167.78 
   -269.00 	    -167.22 
   -268.00 	    -166.67 
   -267.00 	    -166.11 
   -266.00 	    -165.56 
   -265.00 	    -165.00 
   -264.00 	    -164.44 
   -263.00 	    -163.89 
   -262.00 	    -163.33 
   -261.00 	    -162.78 
   -260.00 	    -162.22 
   -259.00 	    -161.67 
   -258.00 	    -161.11 
   -257.00 	    -160.56 
   -256.00 	    -160.00 
   -255.00 	    -159.44 
   -254.00 	    -158.89 
   -253.00 	    -158.33 
   -252.00 	    -157.78 
   -251.00 	    -157.22 
   -250.00 	    -156.67 
   -249.00 	    -156.11 
   -248.00 	    -155.56 
   -247.00 	    -155.00 
   -246.00 	    -154.44 
   -245.00 	    -153.89 
   -244.00 	    -153.33 
   -243.00 	    -152.78 
   -242.00 	    -152.22 
   -241.00 	    -151.67 
   -240.00 	    -151.11 
   -239.00 	    -150.56 
   -238.00 	    -150.00 
   -237.00 	    -149.44 
   -236.00 	    -148.89 
   -235.00 	    -148.33 
   -234.00 	    -147.78 
   -233.00 	    -147.22 
   -232.00 	    -146.67 
   -231.00 	    -146.11 
   -230.00 	    -145.56 
   -229.00 	    -145.00 
   -228.00 	    -144.44 
   -227.00 	    -143.89 
   -226.00 	    -143.33 
   -225.00 	    -142.78 
   -224.00 	    -142.22 
   -223.00 	    -141.67 
   -222.00 	    -141.11 
   -221.00 	    -140.56 
   -220.00 	    -140.00 
   -219.00 	    -139.44 
   -218.00 	    -138.89 
   -217.00 	    -138.33 
   -216.00 	    -137.78 
   -215.00 	    -137.22 
   -214.00 	    -136.67 
   -213.00 	    -136.11 
   -212.00 	    -135.56 
   -211.00 	    -135.00 
   -210.00 	    -134.44 
   -209.00 	    -133.89 
   -208.00 	    -133.33 
   -207.00 	    -132.78 
   -206.00 	    -132.22 
   -205.00 	    -131.67 
   -204.00 	    -131.11 
   -203.00 	    -130.56 
   -202.00 	    -130.00 
   -201.00 	    -129.44 
   -200.00 	    -128.89 
   -199.00 	    -128.33 
   -198.00 	    -127.78 
   -197.00 	    -127.22 
   -196.00 	    -126.67 
   -195.00 	    -126.11 
   -194.00 	    -125.56 
   -193.00 	    -125.00 
   -192.00 	    -124.44 
   -191.00 	    -123.89 
   -190.00 	    -123.33 
   -189.00 	    -122.78 
   -188.00 	    -122.22 
   -187.00 	    -121.67 
   -186.00 	    -121.11 
   -185.00 	    -120.56 
   -184.00 	    -120.00 
   -183.00 	    -119.44 
   -182.00 	    -118.89 
   -181.00 	    -118.33 
   -180.00 	    -117.78 
   -179.00 	    -117.22 
   -178.00 	    -116.67 
   -177.00 	    -116.11 
   -176.00 	    -115.56 
   -175.00 	    -115.00 
   -174.00 	    -114.44 
   -173.00 	    -113.89 
   -172.00 	    -113.33 
   -171.00 	    -112.78 
   -170.00 	    -112.22 
   -169.00 	    -111.67 
   -168.00 	    -111.11 
   -167.00 	    -110.56 
   -166.00 	    -110.00 
   -165.00 	    -109.44 
   -164.00 	    -108.89 
   -163.00 	    -108.33 
   -162.00 	    -107.78 
   -161.00 	    -107.22 
   -160.00 	    -106.67 
   -159.00 	    -106.11 
   -158.00 	    -105.56 
   -157.00 	    -105.00 
   -156.00 	    -104.44 
   -155.00 	    -103.89 
   -154.00 	    -103.33 
   -153.00 	    -102.78 
   -152.00 	    -102.22 
   -151.00 	    -101.67 
   -150.00 	    -101.11 
   -149.00 	    -100.56 
   -148.00 	    -100.00 
   -147.00 	     -99.44 
   -146.00 	     -98.89 
   -145.00 	     -98.33 
   -144.00 	     -97.78 
   -143.00 	     -97.22 
   -142.00 	     -96.67 
   -141.00 	     -96.11 
   -140.00 	     -95.56 
   -139.00 	     -95.00 
   -138.00 	     -94.44 
   -137.00 	     -93.89 
   -136.00 	     -93.33 
   -135.00 	     -92.78 
   -134.00 	     -92.22 
   -133.00 	     -91.67 
   -132.00 	     -91.11 
   -131.00 	     -90.56 
   -130.00 	     -90.00 
   -129.00 	     -89.44 
   -128.00 	     -88.89 
   -127.00 	     -88.33 
   -126.00 	     -87.78 
   -125.00 	     -87.22 
   -124.00 	     -86.67 
   -123.00 	     -86.11 
   -122.00 	     -85.56 
   -121.00 	     -85.00 
   -120.00 	     -84.44 
   -119.00 	     -83.89 
   -118.00 	     -83.33 
   -117.00 	     -82.78 
   -116.00 	     -82.22 
   -115.00 	     -81.67 
   -114.00 	     -81.11 
   -113.00 	     -80.56 
   -112.00 	     -80.00 
   -111.00 	     -79.44 
   -110.00 	     -78.89 
   -109.00 	     -78.33 
   -108.00 	     -77.78 
   -107.00 	     -77.22 
   -106.00 	     -76.67 
   -105.00 	     -76.11 
   -104.00 	     -75.56 
   -103.00 	     -75.00 
   -102.00 	     -74.44 
   -101.00 	     -73.89 
   -100.00 	     -73.33 
    -99.00 	     -72.78 
    -98.00 	     -72.22 
    -97.00 	     -71.67 
    -96.00 	     -71.11 
    -95.00 	     -70.56 
    -94.00 	     -70.00 
    -93.00 	     -69.44 
    -92.00 	     -68.89 
    -91.00 	     -68.33 
    -90.00 	     -67.78 
    -89.00 	     -67.22 
    -88.00 	     -66.67 
    -87.00 	     -66.11 
    -86.00 	     -65.56 
    -85.00 	     -65.00 
    -84.00 	     -64.44 
    -83.00 	     -63.89 
    -82.00 	     -63.33 
    -81.00 	     -62.78 
    -80.00 	     -62.22 
    -79.00 	     -61.67 
    -78.00 	     -61.11 
    -77.00 	     -60.56 
    -76.00 	     -60.00 
    -75.00 	     -59.44 
    -74.00 	     -58.89 
    -73.00 	     -58.33 
    -72.00 	     -57.78 
    -71.00 	     -57.22 
    -70.00 	     -56.67 
    -69.00 	     -56.11 
    -68.00 	     -55.56 
    -67.00 	     -55.00 
    -66.00 	     -54.44 
    -65.00 	     -53.89 
    -64.00 	     -53.33 
    -63.00 	     -52.78 
    -62.00 	     -52.22 
    -61.00 	     -51.67 
    -60.00 	     -51.11 
    -59.00 	     -50.56 
    -58.00 	     -50.00 
    -57.00 	     -49.44 
    -56.00 	     -48.89 
    -55.00 	     -48.33 
    -54.00 	     -47.78 
    -53.00 	     -47.22 
    -52.00 	     -46.67 
    -51.00 	     -46.11 
    -50.00 	     -45.56 
    -49.00 	     -45.00 
    -48.00 	     -44.44 
    -47.00 	     -43.89 
    -46.00 	     -43.33 
    -45.00 	     -42.78 
    -44.00 	     -42.22 
    -43.00 	     -41.67 
    -42.00 	     -41.11 
    -41.00 	     -40.56 
    -40.00 	     -40.00 
    -39.00 	     -39.44 
    -38.00 	     -38.89 
    -37.00 	     -38.33 
    -36.00 	     -37.78 
    -35.00 	     -37.22 
    -34.00 	     -36.67 
    -33.00 	     -36.11 
    -32.00 	     -35.56 
    -31.00 	     -35.00 
    -30.00 	     -34.44 
    -29.00 	     -33.89 
    -28.00 	     -33.33 
    -27.00 	     -32.78 
    -26.00 	     -32.22 
    -25.00 	     -31.67 
    -24.00 	     -31.11 
    -23.00 	     -30.56 
    -22.00 	     -30.00 
    -21.00 	     -29.44 
    -20.00 	     -28.89 
    -19.00 	     -28.33 
    -18.00 	     -27.78 
    -17.00 	     -27.22 
    -16.00 	     -26.67 
    -15.00 	     -26.11 
    -14.00 	     -25.56 
    -13.00 	     -25.00 
    -12.00 	     -24.44 
    -11.00 	     -23.89 
    -10.00 	     -23.33 
     -9.00 	     -22.78 
     -8.00 	     -22.22 
     -7.00 	     -21.67 
     -6.00 	     -21.11 
     -5.00 	     -20.56 
     -4.00 	     -20.00 
     -3.00 	     -19.44 
     -2.00 	     -18.89 
     -1.00 	     -18.33 
      0.00 	     -17.78 
      1.00 	     -17.22 
      2.00 	     -16.67 
      3.00 	     -16.11 
      4.00 	     -15.56 
      5.00 	     -15.00 
      6.00 	     -14.44 
      7.00 	     -13.89 
      8.00 	     -13.33 
      9.00 	     -12.78 
     10.00 	     -12.22 
